Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,checkout DELETE /cart,771,0,260,419.886782360615,102.27639999357052,3957.2764999975334,8.0,2.5807776349512124,0.0,260,410,530,630,1000,1200,1500,1700,4000,4000,4000
GET,checkout GET /cart,762,0,240,372.4475339895673,107.24649999610847,2131.711299996823,113.0,2.5506518259829103,0.0,240,370,480,560,820,1100,1400,1600,2100,2100,2100
GET,checkout GET /catalogue,773,0,75,81.9182157825063,57.11580000206595,527.1842000001925,2795.0,2.5874722591663906,0.0,75,77,79,80,87,120,190,270,530,530,530
GET,checkout GET /login,779,0,320,535.1306501925815,116.57900000136578,3669.4036000044434,13.0,2.6075561318119256,0.0,320,530,710,850,1200,1600,2300,3000,3700,3700,3700
POST,checkout POST /addresses,28,0,121.23359999532113,128.55547142836647,121.23359999532113,169.88709999714047,33.0,0.0937247390124954,0.0,130,130,130,130,140,160,170,170,170,170,170
POST,checkout POST /cards,28,0,120,127.56654285762384,115.1252999989083,158.4210000000894,33.0,0.0937247390124954,0.0,120,130,140,140,140,150,160,160,160,160,160
POST,checkout POST /cart,765,0,570,926.2677583006962,123.08380000467878,9232.400500004587,7.0,2.560693762305678,0.0,570,920,1200,1400,1800,2600,5300,6400,9200,9200,9200
POST,checkout POST /orders,757,13,390,1393.0426585205757,128.82040000113193,26001.588700004504,642.0396301188904,2.5339152654449646,0.043515057398658574,390,590,750,910,1600,3300,22000,25000,26000,26000,26000
POST,checkout POST /register,28,0,9900,9812.549989286448,4973.263799998676,14513.013300005696,33.0,0.0937247390124954,0.0,10000,11000,12000,13000,14000,14000,15000,15000,15000,15000,15000
,Aggregated,4691,13,250,667.8273781923081,57.11580000206595,26001.588700004504,587.7397143466212,15.702241096700568,0.043515057398658574,250,440,610,760,1200,1700,3400,8400,25000,26000,26000
