Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,checkout DELETE /cart,292,0,120,152.27263047924916,114.31900000025053,904.4732000038493,8.0,0.9758066913955287,0.0,120,130,130,140,150,340,560,760,900,900,900
GET,checkout GET /cart,287,0,120,137.44024006976483,113.71840000356315,454.3885000020964,113.0,0.959097672707249,0.0,120,130,130,140,160,240,310,350,450,450,450
GET,checkout GET /catalogue,293,0,74,75.3673416381448,64.85080000129528,179.21609999757493,2795.0,0.9791484951331846,0.0,74,76,77,77,81,83,100,120,180,180,180
GET,checkout GET /login,293,0,140,197.48612969270735,119.56009999994421,2115.099399998144,13.0,0.9791484951331846,0.0,140,140,140,150,250,400,1200,1800,2100,2100,2100
POST,checkout POST /addresses,8,0,122.4856999979238,123.50586249976914,122.4856999979238,124.50959999841871,33.0,0.02673442990124736,0.0,120,120,120,120,120,120,120,120,120,120,120
POST,checkout POST /cards,8,0,120,125.30580000111513,117.60940000385744,137.8578000003472,33.0,0.02673442990124736,0.0,120,130,130,130,140,140,140,140,140,140,140
POST,checkout POST /cart,289,0,150,309.51149723194777,130.87829999858513,5943.741399998544,7.0,0.9657812801825608,0.0,150,150,160,170,230,570,4800,5500,5900,5900,5900
POST,checkout POST /orders,287,0,190,604.869644947727,147.23520000552526,12363.022899997304,652.0,0.959097672707249,0.0,190,240,310,370,650,990,12000,12000,12000,12000,12000
POST,checkout POST /register,8,0,5800,6295.902024999123,4771.949599999061,7794.220999996469,33.0,0.02673442990124736,0.0,6800,6800,7800,7800,7800,7800,7800,7800,7800,7800,7800
,Aggregated,1765,0,140,271.5349260056281,64.85080000129528,12363.022899997304,593.456090651558,5.898283596962699,0.0,140,140,160,170,260,480,1100,5100,12000,12000,12000
