Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,checkout DELETE /cart,425,0,92,140.7751877636046,72.41400005295873,2021.8487000092864,8.0,1.4244904387970727,0.0,92,100,120,140,200,330,690,990,2000,2000,2000
GET,checkout GET /cart,421,0,91,120.61459168480961,71.64129999000579,623.7268999684602,113.0,1.4110834699613355,0.0,91,100,120,140,210,290,360,410,620,620,620
GET,checkout GET /catalogue,427,0,86,95.11131241255652,69.11899999249727,326.2632000260055,2795.0,1.431193923214941,0.0,86,89,94,98,130,150,190,230,330,330,330
GET,checkout GET /login,427,0,100,159.79572856977072,69.54409996978939,1317.1263999538496,13.0,1.431193923214941,0.0,100,120,150,170,250,520,760,870,1300,1300,1300
POST,checkout POST /addresses,12,0,120,124.77791666363676,119.89460000768304,136.58789999317378,33.0,0.04022090650721146,0.0,120,120,130,130,130,140,140,140,140,140,140
POST,checkout POST /cards,12,0,121.24950002180412,130.6822416712142,121.24950002180412,202.36610004212707,33.0,0.04022090650721146,0.0,120,120,130,130,130,200,200,200,200,200,200
POST,checkout POST /cart,424,0,110,466.47912782975493,88.45229999860749,13183.171100041363,7.0,1.4211386965881383,0.0,110,140,170,180,360,680,9500,11000,13000,13000,13000
POST,checkout POST /orders,418,0,170,781.104548327245,101.39920003712177,18961.823499994352,682.0,1.4010282433345327,0.0,170,220,270,330,570,1300,18000,19000,19000,19000,19000
POST,checkout POST /register,12,0,1300,2020.565608346563,736.268300039228,4059.4011999783106,33.0,0.04022090650721146,0.0,2000,2000,3000,3000,4000,4100,4100,4100,4100,4100,4100
,Aggregated,2578,0,100,299.0902501935888,69.11899999249727,18961.823499994352,597.0601241272304,8.640791414632595,0.0,100,120,150,170,270,510,1100,4000,19000,19000,19000
