Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,checkout DELETE /cart,726,0,130,228.27215785117647,107.26969999814173,3108.9461999945343,8.0,2.4308481593366627,0.0,130,170,200,230,360,530,1500,1700,3100,3100,3100
GET,checkout GET /cart,717,0,130,202.92094016733913,106.8197999993572,1596.1977999977535,113.0,2.400713678022572,0.0,130,170,200,240,340,540,760,930,1600,1600,1600
GET,checkout GET /catalogue,730,0,76,81.16318178085064,57.62920000415761,411.87190000346163,2795.0,2.444241262142925,0.0,76,78,81,83,89,110,150,180,410,410,410
GET,checkout GET /login,733,0,150,290.68019686227353,115.95189999934519,3715.2779000025475,13.0,2.4542860892476224,0.0,150,190,250,280,450,840,2500,2600,3700,3700,3700
POST,checkout POST /addresses,24,0,120,123.530512499201,115.24810000264551,132.09590000042226,33.0,0.08035861683757563,0.0,120,120,130,130,130,130,130,130,130,130,130
POST,checkout POST /cards,24,0,120,126.871337499324,115.58340000192402,165.1339000018197,33.0,0.08035861683757563,0.0,120,120,130,130,140,150,170,170,170,170,170
POST,checkout POST /cart,721,0,160,673.2965672675916,123.58000000676839,13581.558600002609,7.0,2.4141067808288343,0.0,160,250,370,450,770,1600,11000,12000,14000,14000,14000
POST,checkout POST /orders,714,24,280,1510.8290546220733,136.24220000201603,22063.006200005475,632.5042016806723,2.3906688509178746,0.08035861683757563,280,510,1000,1600,3200,4900,21000,22000,22000,22000,22000
POST,checkout POST /register,24,0,4200,4503.346091665965,1496.6335999997682,8051.932099995611,33.0,0.08035861683757563,0.0,4600,5500,6600,6800,7700,7800,8100,8100,8100,8100,8100
,Aggregated,4413,24,140,512.532591955596,57.62920000415761,22063.006200005475,588.2028098799003,14.775940671009218,0.08035861683757563,140,190,250,310,640,1600,4100,9600,22000,22000,22000
