Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,checkout DELETE /cart,149,0,140,175.81455704735376,118.96350000461098,2346.986399999878,8.0,0.5013980604883344,0.0,140,160,190,190,220,230,470,490,2300,2300,2300
GET,checkout GET /cart,149,0,140,165.30378523494443,115.39339999580989,511.6506999984267,113.0,0.5013980604883344,0.0,140,170,200,200,230,250,400,460,510,510,510
GET,checkout GET /catalogue,150,0,79,99.95458066647795,68.98180000280263,426.82529999729013,2795.0,0.5047631481426185,0.0,80,93,110,130,170,170,190,260,430,430,430
GET,checkout GET /login,151,0,140,188.17682450358518,121.8797999972594,2528.4912999995868,13.0,0.5081282357969027,0.0,140,150,180,190,220,230,620,960,2500,2500,2500
POST,checkout POST /addresses,4,0,121.08409999927972,134.68642499901762,121.08409999927972,154.96160000475356,33.0,0.013460350617136494,0.0,140,140,150,150,150,150,150,150,150,150,150
POST,checkout POST /cards,4,0,120,137.1545750007499,114.27470000489848,186.3041999968118,33.0,0.013460350617136494,0.0,130,130,190,190,190,190,190,190,190,190,190
POST,checkout POST /cart,149,0,160,223.59124161072558,131.95290000294335,1720.9175000025425,7.0,0.5013980604883344,0.0,160,190,200,220,320,530,1200,1600,1700,1700,1700
POST,checkout POST /orders,148,0,230,513.6963135134736,149.8347999950056,8502.544900002249,652.0,0.4980329728340503,0.0,240,310,360,420,730,1000,7900,8200,8500,8500,8500
POST,checkout POST /register,4,0,320,506.9530999990093,184.6069000021089,1198.7356999961776,33.0,0.013460350617136494,0.0,320,320,1200,1200,1200,1200,1200,1200,1200,1200,1200
,Aggregated,908,0,150,227.63419207055372,68.98180000280263,8502.544900002249,591.6046255506608,3.055499590089984,0.0,150,170,200,220,290,440,840,1300,8500,8500,8500
