Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,checkout DELETE /cart,806,0,150,417.54933200990087,107.53059999842662,5959.251200001745,8.0,2.696525415114925,0.0,150,260,400,510,970,1400,3000,3600,6000,6000,6000
GET,checkout GET /cart,800,0,170,348.2769308751085,107.00769999675686,2423.318499997549,113.0,2.6764520249279653,0.0,170,270,390,470,840,1300,1800,1900,2400,2400,2400
GET,checkout GET /catalogue,810,0,75,87.28450999980042,60.05169999843929,459.00560000154655,2795.0,2.709907675239565,0.0,75,78,81,83,100,140,280,370,460,460,460
GET,checkout GET /login,815,0,180,589.6817975460075,107.35460000432795,9926.073599999654,13.0,2.7266355003953646,0.0,180,280,470,640,1300,2300,5800,7200,9900,9900,9900
POST,checkout POST /addresses,32,0,120,128.10151250027957,119.18960000184597,189.49330000032205,33.0,0.10705808099711861,0.0,120,130,130,130,140,140,190,190,190,190,190
POST,checkout POST /cards,32,0,120,145.93200937520123,116.1463999960688,511.34929999534506,33.0,0.10705808099711861,0.0,130,130,130,130,160,260,510,510,510,510,510
POST,checkout POST /cart,804,0,270,1201.3567138058802,122.54669999674661,21272.301900004095,7.0,2.689834285052605,0.0,270,510,880,1200,2100,3400,15000,17000,21000,21000,21000
POST,checkout POST /orders,791,32,430,2014.0023543614486,134.73090000479715,22597.336099999666,628.53603034134,2.6463419396475256,0.10705808099711861,430,1000,1900,2700,4700,6100,21000,22000,23000,23000,23000
POST,checkout POST /register,32,0,11000,11309.350740624723,7565.323000002536,15019.101400001091,33.0,0.10705808099711861,0.0,12000,13000,14000,14000,15000,15000,15000,15000,15000,15000,15000
,Aggregated,4922,32,170,832.2008088175019,60.05169999843929,22597.336099999666,584.5918325883787,16.466871083369305,0.10705808099711861,170,290,470,680,1600,3300,7600,15000,22000,23000,23000
